,mean,sd
0,0.5235059970421881,2.8177982924116325
1,45.89075556255907,23.30529125472655
2,28.957841160993105,16.721649118746445
3,73.66118236638839,40.15155391332023
4,71.2206079638017,36.544920835605794
5,62.3677391223458,32.00247297603878
6,59.34806302560957,33.895902865756405
7,0.0,0.0
8,48.64773431011146,21.284860124137953
9,45.43160996974507,21.479038520185888
10,56.7036575416023,28.033340398419625
11,62.81777891192868,31.58823218691862
12,35.06376223603618,17.97739512572759
13,44.41530774404275,19.172406179426837
14,47.84692687211875,25.450705100558228
15,56.58827221671316,29.230988259414385
16,48.9197030695735,24.701115216633774
17,63.56895618253583,31.213726906107045
18,64.23857793732054,35.9005062472377
19,39.49272053513211,18.975461663961905
20,13.516388254305472,10.516615619207473
21,72.88124361175237,43.88324905066233
22,46.57809989879456,24.41683169085851
23,48.84537649942979,24.92429266107024
24,34.1508452832638,15.812066748438824
25,51.008998326754664,25.697358170776475
26,60.08508937612427,33.381693072061665
27,60.54094153599912,29.968221469709466
28,67.08213040625387,46.675084864023894
29,42.95436944390871,21.830601331297295
30,0.0,0.0
31,0.0,0.0
32,47.82579670760553,24.661309600254494
33,70.28197496292543,41.0246659646455
34,47.18316933482844,20.060623634534068
35,54.284908711752436,27.123373173132293
36,0.7059275520815947,4.957352943132306
37,31.877432936509045,14.471549491492063
38,40.83638649863607,20.769598790993054
39,46.7827769279277,28.781940902365754
40,0.0,0.0
41,44.85926785511632,20.490774162972272
42,46.606795765048645,19.156597207793755
43,43.61405076024583,18.632923069975103
44,44.5508559691237,24.679619537968367
45,56.414002215554035,28.996456273840657
46,0.0,0.0
47,43.15792770689845,21.974746651725013
48,0.0,0.0
49,50.24292514794627,27.024481216238176
50,52.953119852804846,25.44830188483349
51,44.220453641752606,22.87315734850546
52,59.78972569889672,34.96631402183765
53,53.23125618926614,30.890747093109365
54,40.475829517051466,19.93872855821631
55,37.61394498139224,18.19801983582272
56,38.3850668169679,20.394214376213043
57,40.96827187401952,19.83863954745962
58,35.594442881189146,18.643561942433283
59,42.87452095164959,21.153136986974527
60,62.2607076635513,30.573565164352644
61,36.738715614663946,16.723295826293437
62,45.43787100473804,21.915747485955702
63,34.14750434565595,16.2340000017291
